hit,area,pmcid,section,pattern,family,match,verdict,supports,fp_category,note,sentence
110,A5_autonomous,PMC12590431,METHODS,U2_acquisition,U,expected improvement,FP,,HYPERPARAMETER_BO,BO used only to tune GPR hyper-parameters,"Each BO run involved 30 iterations using the expected improvement plus (EI+) method, an enhanced expected improvement (EI) acquisition function ([CIT] ) that can avoid a local objective function minimum, to identify the optimal parameter set and ensure efficient model tuning."
111,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"To identify the potential parameter combinations that maximise the probiotic survival rate, the trained GPR model was used to predict survival rates across the design space."
112,A5_autonomous,PMC12590431,METHODS,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"To account for prediction uncertainty and identify a high-survival region rather than a single point, candidate points with predicted mean values within 99 % of the maximum were selected as the potential optimal region."
113,A5_autonomous,PMC12590431,METHODS,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),The survival rates of probiotic tablets compressed under varying precompression pressures (0–208 MPa) were compared against the GPR model predictions.
114,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"This section first presents an overview of the dataset used for GPR model training, describing its structure and key features."
115,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"In addition, it is evident that AL tends to allocate more sampling points near the boundaries of the parameter space for all variables, reflecting the higher prediction uncertainty in these regions."
116,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Furthermore, the initial GPR model was trained on the Sobol points (blue open circles), and during the subsequent AL process, the queried points (red solid circles) were mostly located away from these initial samples."
117,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"Since the essence of AL is to query points with the highest prediction uncertainty, the AL points naturally avoid regions surrounding the Sobol points."
118,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_uq,U,prediction uncertainty,TP,U2,,prediction uncertainty used for active learning / reported,"This is because the model exhibited high prediction uncertainty in those regions, leading the AL algorithm to preferentially select multiple points within these regions to gradually reduce the uncertainty."
119,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Fig. 3 illustrates the trends of RMSE and R2 across different iterations of the GPR models during AL.
120,A5_autonomous,PMC12590431,FIG,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Performance of GPR models across different iterations.
121,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"In this section, the AL-based GPR model developed in this study was used to predict probiotic survival rate for various main compression pressures (with experimental data reported in ([CIT] )) and precompression pressures."
122,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The probiotic survival rate under various main compression pressures at a fixed compression speed was experimentally measured and compared with the predictions generated by the GPR model, as shown in Fig. 4."
123,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Overall, however, the GPR-predicted values are in good agreement with the experimental results, accurately capturing the overall trend of decreasing survival rate with increasing compression pressure."
124,A5_autonomous,PMC12590431,FIG,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Comparison of experimental survival rate and GPR predictions across varying main compression pressures under a fixed main compression speed (180 mm/min).
125,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),It should also be noted that a noticeable deviation was observed between the GPR model predictions and experimental results at higher precompression pressures.
126,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"This discrepancy arises because the GPR model primarily improves global uncertainty, and capturing variations in specific regions requires additional iterations to be fully resolved."
127,A5_autonomous,PMC12590431,FIG,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),Comparison of experimental survival rate (n = 6) and GPR predictions across varying precompression pressures under a fixed main compression pressure (208 MPa) and compression speed (180 mm/min).
128,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"In general, the GPR model demonstrates a strong ability to accurately capture the variation in probiotic survival rate across different compaction conditions."
129,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Nonetheless, the optimal conditions identified by experiments fall within the range predicted by the GPR model, with only minor differences."
130,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Fig. 6 illustrates the potential optimal regions for probiotic survival in three-dimensional compaction parameter space, as predicted by the trained GPR model."
131,A5_autonomous,PMC12590431,TABLE,U2_gp,U,GPR,TP,U2,,table of GPR mean +/- SD vs experiment (also EP),"Case | GPR survival rate(%, mean ± SD) | Experimental survival rate(%, mean ± SD). 6 (Optimal) | 100 ± 9.6 | 100.4 ± 12.8. 7 (Optimal) | 100 ± 9.8 | 99.5 ± 13.8."
132,A5_autonomous,PMC12590431,RESULTS_DISCUSSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Nevertheless, the AL-driven GPR model proposed herein has been thoroughly validated, demonstrating its effectiveness."
133,A5_autonomous,PMC12590431,CONCLUSION,U2_gp,U,Gaussian process,TP,U2,,GPR surrogate (per-prediction SD available/used),A hybrid model integrating an AL-based Gaussian process regression model with FE modelling was developed to predict the survival rate of probiotics during tabletting.
134,A5_autonomous,PMC12590431,CONCLUSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"The GPR model was initially trained on a small dataset of simulated probiotic survival rates under a range of tabletting conditions (compression speed, precompression pressure and main compression pressure)."
135,A5_autonomous,PMC12590431,CONCLUSION,U2_gp,U,GPR,TP,U2,,GPR surrogate (per-prediction SD available/used),"Through the AL framework, additional data points were iteratively selected for further FE simulations of probiotic viability to refine the GPR model by reducing the maximum uncertainty of its predictions at each iteration."
